"id","type","risk_level","status","verification_status","gap_count","primary_gap","file_path"
"PYCLASS-BACKEND-APP-AFFECTIVE-ASSESSOR-PY-AFFECTIVEASSESSOR-DFF10A90","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/affective/assessor.py"
"PYCLASS-BACKEND-APP-AFFECTIVE-ASSESSOR-PY-AFFECTIVECLASSIFIERCLIENT-60272C3A","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/affective/assessor.py"
"PYCLASS-BACKEND-APP-AGENTS-CONTEXT-PY-CONTEXTAGENT-1E5E3F0C","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/agents/context.py"
"PYCLASS-BACKEND-APP-AGENTS-PERCEPTION-PY-PERCEPTIONAGENT-3361495F","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/agents/perception.py"
"PYCLASS-BACKEND-APP-AGENTS-PLANNING-PY-PLANNINGAGENT-F41CA18D","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/agents/planning.py"
"PYCLASS-BACKEND-APP-AGENTS-ROLE-PY-ROLEAGENT-50E01AAA","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/agents/role.py"
"PYCLASS-BACKEND-APP-API-HEALTH-RESPONSE-PY-HEALTHRESPONSESECTIONS-6FA1E7ED","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/health_response.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPAUTHUSERRESPONSE-8035AB64","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCHATHISTORYENTRY-B91EE2ED","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCHATHISTORYRESPONSE-E727512D","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCHATMESSAGEREQUEST-0CEF3709","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCHATMESSAGERESPONSE-F194E7E8","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCONNECTORCONFIRMATIONREQUEST-98214940","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPCONNECTORCONFIRMATIONRESPONSE-D4B30530","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPLOGINREQUEST-F4C9CE91","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPMERESPONSE-B511655D","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPPERSONALITYOVERVIEWRESPONSE-F44719C9","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPREGISTERREQUEST-F56CCF92","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPRESETDATAREQUEST-F0071D50","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPRESETDATARESPONSE-5F646CFA","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPSETTINGSPATCHREQUEST-996738FC","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPSETTINGSRESPONSE-6C08196C","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPTELEGRAMLINKSTARTRESPONSE-207960A2","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPTOOLSOVERVIEWRESPONSE-29EEF1BD","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPTOOLSPREFERENCESPATCHREQUEST-C55E8DE0","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-EVENTQUEUERESPONSE-A2EB11BB","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-EVENTREPLYRESPONSE-85BCD107","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-EVENTRESPONSE-FCBCBDE4","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-EVENTRUNTIMERESPONSE-F529076B","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-PENDINGCONNECTORCONFIRMATIONRESPONSE-47AB9C28","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-SETWEBHOOKREQUEST-53B65CD6","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/api/schemas.py"
"PYCLASS-BACKEND-APP-COMMUNICATION-BEHAVIOR-FEEDBACK-PY-BEHAVIORFEEDBACK-C36ADB5B","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/communication/behavior_feedback.py"
"PYCLASS-BACKEND-APP-COMMUNICATION-BOUNDARY-PY-COMMUNICATIONBOUNDARYSIGN-F6DFC563","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/communication/boundary.py"
"PYCLASS-BACKEND-APP-CORE-ACTION-PY-ACTIONEXECUTOR-E3B1BC52","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/action.py"
"PYCLASS-BACKEND-APP-CORE-ATTENTION-PY-ATTENTIONTURNCOORDINATOR-A9854DF6","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/attention.py"
"PYCLASS-BACKEND-APP-CORE-ATTENTION-PY-PENDINGTURN-001DF402","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/attention.py"
"PYCLASS-BACKEND-APP-CORE-ATTENTION-PY-TURNASSEMBLYDECISION-A8E808FB","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/attention.py"
"PYCLASS-BACKEND-APP-CORE-BEHAVIOR-HARNESS-PY-BEHAVIORSCENARIOCHECK-4CF4401D","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/behavior_harness.py"
"PYCLASS-BACKEND-APP-CORE-BEHAVIOR-HARNESS-PY-BEHAVIORSCENARIODEFINITION-436C54A1","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/behavior_harness.py"
"PYCLASS-BACKEND-APP-CORE-BEHAVIOR-HARNESS-PY-BEHAVIORSCENARIORESULT-86EB59BC","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/behavior_harness.py"
"PYCLASS-BACKEND-APP-CORE-CONFIG-PY-SETTINGS-93757D44","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/config.py"
"PYCLASS-BACKEND-APP-CORE-CONNECTOR-POLICY-PY-CONNECTOROPERATIONPOLICY-052106F2","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/connector_policy.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONDELIVERY-4A874E3E","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONDELIVERYCONNECTORINTENT-1F28DE07","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONDELIVERYEXECUTIONENVELOPE-E235DAE5","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONEXECUTIONOBSERVATION-87184A14","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONLOOPSUMMARYOUTPUT-78035871","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONRESULT-DEA4DA32","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-AFFECTIVEASSESSMENTOUTPUT-3BFB2C7C","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-BEHAVIORFEEDBACKOUTPUT-172AF22A","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CALENDARSCHEDULINGINTENTDOMAININT-5CF414D7","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CANCELPLANNEDWORKITEMDOMAININTENT-EDBFD342","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-COMPLETEPLANNEDWORKITEMDOMAININTE-C0E3279E","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CONNECTEDDRIVEACCESSDOMAININTENT-2450A544","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CONNECTORCAPABILITYDISCOVERYDOMAI-AFDC0CBE","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CONNECTORPERMISSIONGATEOUTPUT-64069211","class","medium","implemented","implementation_evidence","5","node status is implemented","backend/app/core/contracts.py"
